,point_diff,season,neutral,elo1_pre,elo2_pre,team1_last10,team2_last10
58287,-3.0,2012,0,1568.4222,1581.325,0.75,0.65
58288,8.0,2012,0,1601.465,1326.0858,0.6,0.2
58289,14.0,2012,0,1671.001,1322.4614,0.8,0.15
58290,-10.0,2012,0,1485.2246,1640.2736,0.35,0.8
58291,-5.0,2012,0,1562.8785,1615.4711,0.5,0.5
58292,-11.0,2012,0,1510.4019,1388.7028,0.45,0.45
58293,11.0,2012,0,1551.4828,1500.6171,0.35,0.6
58294,9.0,2012,0,1470.6021,1371.5991,0.45,0.2
58295,-8.0,2012,0,1456.7881,1588.8099,0.35,0.7
58296,30.0,2012,0,1540.7373,1384.5865,0.6,0.1
58297,13.0,2012,0,1602.9078,1659.1111,0.6,0.7
58298,-7.0,2012,0,1476.8467,1357.9658,0.3,0.3
58299,5.0,2012,0,1606.2251,1409.6322,0.8,0.5
58300,-7.0,2012,0,1489.4724,1324.6429,0.4,0.1
58301,16.0,2012,0,1588.2998,1560.9373,0.6,0.7
58302,31.0,2012,0,1579.8766,1321.1305,0.7,0.1
58303,-9.0,2012,0,1554.5718,1672.3319,0.45,0.9
58304,-5.0,2012,0,1339.5120000000002,1517.9482,0.3,0.7
58305,14.0,2012,0,1527.4979,1420.9717,0.3,0.3
58306,-17.0,2012,0,1377.8268,1367.5466,0.1,0.2
58307,26.0,2012,0,1623.7778,1474.6545,0.6,0.5
58308,2.0,2012,0,1547.4971,1373.8557,0.6,0.4
58309,14.0,2012,0,1523.1001,1545.4645,0.7,0.4
58310,-13.0,2012,0,1317.2144,1583.7927,0.1,0.8
58311,13.0,2012,0,1681.4392,1334.3601,0.9,0.3
58312,2.0,2012,0,1532.6519,1552.6569,0.4,0.6
58313,39.0,2012,0,1630.1064,1415.8177,0.7,0.3
58314,13.0,2012,0,1470.7078,1342.1743,0.6,0.2
58315,12.0,2012,0,1356.8275,1448.7491,0.1,0.3
58316,8.0,2012,0,1498.976,1607.9714,0.6,0.8
58317,12.0,2012,0,1648.6515,1494.8087,0.8,0.5
58318,9.0,2012,0,1557.2911,1460.9568,0.4,0.2
58319,-8.0,2012,0,1388.5459,1437.4564,0.3,0.3
58320,11.0,2012,0,1596.5802,1471.941,0.6,0.4
58321,-10.0,2012,0,1613.2615,1475.0908,0.6,0.7
58322,16.0,2012,0,1561.3986,1682.7181,0.5,0.9
58323,3.0,2012,0,1598.5896,1636.0708,0.7,0.8
58324,13.0,2012,0,1372.4962,1409.8534,0.4,0.3
58325,-7.0,2012,0,1456.8494,1549.1431,0.1,0.5
58326,-9.0,2012,0,1536.0167,1652.2936,0.4,0.8
58327,10.0,2012,0,1508.3578,1337.7913,0.65,0.2
58328,-8.0,2012,0,1311.2224,1536.1656,0.1,0.4
58329,12.0,2012,0,1589.7847,1468.3259,0.8,0.4
58330,-9.0,2012,0,1491.1666,1596.8489,0.5,0.8
58331,9.0,2012,0,1548.8566,1333.0812,0.6,0.3
58332,-8.0,2012,0,1368.1202,1407.8859,0.2,0.5
58333,17.0,2012,0,1541.5732,1377.6976,0.5,0.3
58334,21.0,2012,0,1667.5391,1467.9214,0.8,0.4
58335,22.0,2012,0,1648.7574,1600.5999,0.6,0.7
58336,-10.0,2012,0,1419.0623,1448.3047,0.5,0.3
58337,-10.0,2012,0,1464.0076,1592.8120000000001,0.3,0.6
58338,29.0,2012,0,1495.5403,1511.3267,0.8,0.7
58339,7.0,2012,0,1606.3802,1356.9438,0.8,0.2
58340,-4.0,2012,0,1594.1029999999998,1602.1167,0.9,0.7
58341,23.0,2012,0,1526.8578,1330.9099,0.4,0.3
58342,-2.0,2012,0,1607.9319,1591.2435,0.8,0.6
58343,2.0,2012,0,1496.0917,1631.6943,0.6,0.7
58344,-3.0,2012,0,1481.6353,1463.7856,0.5,0.3
58345,7.0,2012,0,1334.8224,1461.5146,0.2,0.3
58346,3.0,2012,0,1305.8148,1661.4525,0.1,0.8
58347,8.0,2012,0,1382.0829999999999,1373.3531,0.5,0.2
58348,4.0,2012,0,1400.2666,1532.5479,0.3,0.7
58349,-6.0,2012,0,1448.1967,1576.5776,0.1,0.6
58350,3.0,2012,0,1551.0278,1557.7958,0.7,0.5
58351,-3.0,2012,0,1510.7753,1626.2129,0.8,0.7
58352,2.0,2012,0,1545.9177,1441.2518,0.5,0.1
58353,11.0,2012,0,1658.1138,1602.9661,0.6,0.7
58354,-2.0,2012,0,1598.2983,1407.3601,0.7,0.3
58355,-17.0,2012,0,1367.5322,1583.5225,0.1,0.6
58356,-3.0,2012,0,1452.2592,1525.4543,0.3,0.6
58357,12.0,2012,0,1600.8771,1597.2754,0.7,0.7
58358,-8.0,2012,0,1531.3573,1471.9752,0.5,0.4
58359,-10.0,2012,0,1326.4104,1553.9567,0.2,0.5
58360,-4.0,2012,0,1317.2463,1610.7098,0.2,0.7
58361,-39.0,2012,0,1405.8523,1671.6748,0.5,0.8
58362,14.0,2012,0,1585.5099,1554.8669,0.8,0.7
58363,-3.0,2012,0,1501.5731,1387.9039,0.7,0.5
58364,-14.0,2012,0,1473.4457,1454.7029,0.4,0.2
58365,33.0,2012,0,1592.6106,1417.9679999999998,0.7,0.4
58366,3.0,2012,0,1547.8724,1587.6904,0.6,0.6
58367,6.0,2012,0,1684.6906,1355.3922,0.8,0.2
58368,27.0,2012,0,1547.4056,1392.8365,0.7,0.4
58369,-2.0,2012,0,1439.2971,1631.4901,0.1,0.7
58370,10.0,2012,0,1505.4979999999998,1398.3401,0.8,0.5
58371,-5.0,2012,0,1454.5575,1613.4174,0.4,0.7
58372,-10.0,2012,0,1344.0779,1650.021,0.3,0.7
58373,3.0,2012,0,1358.4441,1560.0637,0.1,0.5
58374,21.0,2012,0,1663.8044,1592.9712,0.6,0.8
58375,12.0,2012,0,1491.1370000000002,1320.3033,0.7,0.1
58376,-2.0,2012,0,1589.6423,1531.6074,0.6,0.7
58377,-9.0,2012,0,1671.922,1473.5911,0.6,0.3
58378,-6.0,2012,0,1314.5388,1516.4863,0.2,0.4
58379,10.0,2012,0,1339.9070000000002,1354.4955,0.3,0.1
58380,20.0,2012,0,1584.8536,1309.4289999999999,0.7,0.2
58381,12.0,2012,0,1552.2476,1411.4083,0.4,0.4
58382,31.0,2012,0,1521.5962,1608.5101,0.4,0.7
58383,-2.0,2012,0,1435.964,1583.2714,0.1,0.5
58384,6.0,2012,0,1634.8232,1486.8462,0.7,0.4
58385,20.0,2012,0,1654.1919,1366.2603,0.8,0.2
58386,-5.0,2012,0,1495.2693,1553.7223,0.4,0.8
58387,15.0,2012,0,1685.5873,1347.2798,0.8,0.4
58388,-1.0,2012,0,1446.1061,1599.1703,0.3,0.7
58389,-15.0,2012,0,1394.1949,1552.2915,0.5,0.7
58390,-33.0,2012,0,1347.1227,1448.9645,0.1,0.4
58391,-3.0,2012,0,1484.3491,1316.9792,0.4,0.1
58392,-19.0,2012,0,1539.4943,1587.183,0.7,0.7
58393,7.0,2012,0,1650.2438,1386.5199,0.6,0.3
58394,13.0,2012,0,1556.1499,1602.46,0.5,0.7
58395,-15.0,2012,0,1637.3203,1383.4609,0.8,0.5
58396,17.0,2012,0,1306.8265,1323.84,0.2,0.1
58397,10.0,2012,0,1656.6124,1431.9384,0.9,0.1
58398,-6.0,2012,0,1563.0255,1487.1237,0.8,0.4
58399,-5.0,2012,0,1687.0676,1520.5304,0.9,0.7
58400,-3.0,2012,0,1363.8397,1651.6736,0.2,0.6
58401,-7.0,2012,0,1587.4561,1345.7994,0.7,0.3
58402,8.0,2012,0,1442.8164,1566.0969,0.3,0.5
58403,-5.0,2012,0,1509.6432,1328.6901,0.8,0.2
58404,-29.0,2012,0,1407.506,1619.0104,0.3,0.7
58405,10.0,2012,0,1385.0901,1472.2472,0.3,0.4
58406,5.0,2012,0,1581.7555,1494.4611,0.6,0.7
58407,22.0,2012,0,1587.297,1561.8679,0.5,0.8
58408,7.0,2012,0,1491.3536,1592.5129,0.6,0.7
58409,-8.0,2012,0,1606.1469,1542.9233,0.7,0.4
58410,-3.0,2012,0,1394.9825,1366.1117,0.3,0.4
58411,-11.0,2012,0,1452.6870000000001,1658.8146,0.4,0.9
58412,27.0,2012,0,1549.8234,1317.3423,0.8,0.3
58413,7.0,2012,0,1672.3512,1500.3258,0.8,0.5
58414,26.0,2012,0,1429.7362,1591.1295,0.1,0.7
58415,17.0,2012,0,1567.1438,1313.3242,0.6,0.1
58416,15.0,2012,0,1632.5179,1343.8394,0.7,0.2
58417,7.0,2012,0,1557.9407,1535.2468,0.4,0.7
58418,10.0,2012,0,1654.1355,1462.3547,0.6,0.3
58419,15.0,2012,0,1604.0941,1494.4939,0.7,0.7
58420,38.0,2012,0,1556.2263,1472.6383,0.4,0.3
58421,-6.0,2012,0,1361.3778,1551.4623,0.2,0.7
58422,8.0,2012,0,1416.6871,1597.7026,0.5,0.6
58423,3.0,2012,0,1489.1829,1393.9984,0.6,0.3
58424,11.0,2012,0,1497.9379999999999,1584.8629,0.5,0.6
58425,2.0,2012,0,1460.9389999999999,1584.0642,0.2,0.7
58426,21.0,2012,0,1569.7786,1355.9943,0.6,0.2
58427,13.0,2012,0,1553.9375,1459.7104,0.8,0.2
58428,-3.0,2012,0,1310.6895,1313.2281,0.1,0.2
58429,1.0,2012,0,1609.4052,1585.7704,0.7,0.6
58430,-5.0,2012,0,1428.6194,1574.3755,0.6,0.5
58431,-4.0,2012,0,1634.4989,1499.8024,0.8,0.6
58432,-1.0,2012,0,1563.0033,1386.5377,0.5,0.3
58433,4.0,2012,0,1656.7798,1674.739,0.6,0.8
58434,-21.0,2012,0,1374.5565,1341.8584,0.5,0.2
58435,-21.0,2012,0,1566.7668,1530.1842,0.6,0.6
58436,-22.0,2012,0,1454.0989,1556.8458,0.1,0.7
58437,21.0,2012,0,1508.4254,1352.1716,0.5,0.2
58438,5.0,2012,0,1573.6012,1540.6235,0.7,0.5
58439,4.0,2012,0,1491.5557,1567.9257,0.6,0.5
58440,-10.0,2012,0,1320.9491,1670.1801,0.3,0.7
58441,-10.0,2012,0,1578.8141,1583.3485,0.7,0.6
58442,14.0,2012,0,1661.3387,1436.7653,0.7,0.1
58443,-23.0,2012,0,1466.1891,1611.8270000000002,0.3,0.6
58444,12.0,2012,0,1512.1716,1665.9569,0.7,0.9
58445,-12.0,2012,0,1559.1629999999998,1422.7195,0.9,0.6
58446,27.0,2012,0,1454.485,1346.9351,0.1,0.1
58447,-23.0,2012,0,1367.7277,1574.1794,0.3,0.8
58448,7.0,2012,0,1556.3275,1348.6873,0.7,0.5
58449,3.0,2012,0,1445.5447,1391.6256,0.4,0.3
58450,33.0,2012,0,1580.2754,1302.9685,0.5,0.1
58451,-3.0,2012,0,1395.1613,1554.3798,0.4,0.5
58452,3.0,2012,0,1564.5667,1622.1296,0.6,0.8
58453,8.0,2012,0,1597.5959,1536.3185,0.6,0.8
58454,3.0,2012,0,1346.7236,1338.8589,0.4,0.1
58455,16.0,2012,0,1577.6396,1673.5089,0.7,0.7
58456,36.0,2012,0,1558.8164,1356.025,0.6,0.3
58457,-10.0,2012,0,1445.5639999999999,1558.2911,0.6,0.7
58458,-9.0,2012,0,1626.9822,1651.9301,0.6,0.8
58459,44.0,2012,0,1562.1401,1299.2845,0.5,0.1
58460,8.0,2012,0,1513.662,1664.0696,0.5,0.8
58461,-17.0,2012,0,1434.0344,1451.0339,0.1,0.3
58462,-2.0,2012,0,1497.3412,1526.1985,0.6,0.7
58463,6.0,2012,0,1536.5851,1317.6202,0.4,0.3
58464,3.0,2012,0,1388.7194,1567.0959,0.2,0.6
58465,-21.0,2012,0,1532.3567,1617.3798,0.7,0.7
58466,-19.0,2012,0,1585.8821,1569.3165,0.8,0.6
58467,18.0,2012,0,1448.4509,1491.183,0.4,0.6
58468,-3.0,2012,0,1462.5612,1659.6632,0.2,0.6
58469,12.0,2012,0,1602.1516,1414.6669,0.6,0.1
58470,18.0,2012,0,1531.7628,1470.4015,0.7,0.4
58471,-20.0,2012,0,1591.4854,1653.2457,0.7,0.8
58472,8.0,2012,0,1538.2794,1390.7246,0.4,0.3
58473,-3.0,2012,0,1350.3218,1435.6672,0.5,0.6
58474,-11.0,2012,0,1614.4237,1568.1879,0.5,0.7
58475,-4.0,2012,0,1635.2719,1583.9594,0.7,0.5
58476,7.0,2012,0,1664.4885,1592.3893,0.8,0.6
58477,17.0,2012,0,1350.0326,1315.9259,0.3,0.3
58478,8.0,2012,0,1335.2607,1524.4858,0.1,0.6
58479,2.0,2012,0,1564.8088,1458.7867,0.7,0.2
58480,-26.0,2012,0,1307.5643,1514.4646,0.3,0.6
58481,2.0,2012,0,1347.4951,1411.6311,0.2,0.1
58482,9.0,2012,0,1441.5626,1539.4019,0.6,0.7
58483,11.0,2012,0,1605.1874,1668.4932,0.7,0.8
58484,6.0,2012,0,1462.7625,1294.3287,0.4,0.0
58485,9.0,2012,0,1478.9987,1594.1042,0.5,0.5
58486,-11.0,2012,0,1562.8093,1572.7358,0.7,0.6
58487,-4.0,2012,0,1585.6174,1541.2179,0.7,0.4
58488,7.0,2012,0,1456.8456,1344.4264,0.2,0.5
58489,3.0,2012,0,1387.7861,1596.9941,0.3,0.5
58490,-23.0,2012,0,1512.2515,1663.4376,0.6,0.7
58491,20.0,2012,0,1559.8082,1625.1270000000002,0.5,0.7
58492,8.0,2012,0,1396.0071,1460.6353,0.3,0.5
58493,6.0,2012,0,1671.9952,1358.3942,0.8,0.4
58494,18.0,2012,0,1566.75,1588.3846,0.8,0.5
58495,3.0,2012,0,1294.819,1357.4105,0.2,0.4
58496,-5.0,2012,0,1577.2316,1614.7592,0.4,0.7
58497,-8.0,2012,0,1407.4171,1403.9407,0.1,0.4
58498,11.0,2012,0,1460.1166,1489.2797,0.3,0.5
58499,-5.0,2012,0,1551.1801,1527.21,0.5,0.7
58500,-9.0,2012,0,1547.9336,1465.0004,0.6,0.5
58501,5.0,2012,0,1587.6116,1583.8232,0.7,0.5
58502,-9.0,2012,0,1610.7745,1529.7452,0.6,0.6
58503,-4.0,2012,0,1574.1606,1658.9214,0.6,0.7
58504,-21.0,2012,0,1341.1554,1678.2563,0.4,0.7
58505,-3.0,2012,0,1452.7017,1665.6045,0.5,0.7
58506,-2.0,2012,0,1497.4327,1481.9071,0.6,0.5
58507,10.0,2012,0,1577.9031,1292.0908,0.8,0.0
58508,2.0,2012,0,1451.2192,1416.7034,0.6,0.5
58509,5.0,2012,0,1575.6553,1480.9546,0.7,0.4
58510,16.0,2012,0,1672.9789,1395.7765,0.8,0.3
58511,-23.0,2012,0,1394.6544,1684.0529,0.1,0.7
58512,-10.0,2012,0,1593.9458,1589.0038,0.5,0.5
58513,-7.0,2012,0,1335.3589,1351.7091,0.4,0.3
58514,10.0,2012,0,1531.0269,1578.6494,0.5,0.7
58515,7.0,2012,0,1393.5658,1537.6970000000001,0.3,0.7
58516,13.0,2012,0,1540.693,1675.1896,0.4,0.8
58517,-7.0,2012,0,1567.4775,1546.5739999999998,0.5,0.6
58518,-14.0,2012,0,1299.6649,1468.4417,0.3,0.4
58519,-10.0,2012,0,1592.2241,1623.4845,0.7,0.8
58520,-6.0,2012,0,1352.5646,1490.4011,0.4,0.5
58521,5.0,2012,0,1568.5062,1453.9723,0.3,0.6
58522,-1.0,2012,0,1579.4556,1579.2107,0.9,0.4
58523,5.0,2012,0,1413.9503,1669.1221,0.4,0.8
58524,-7.0,2012,0,1488.9387,1559.0038,0.5,0.6
58525,-8.0,2012,0,1579.2958,1449.1841,0.4,0.4
58526,6.0,2012,0,1571.2129,1570.1796,0.3,0.6
58527,-7.0,2012,0,1451.2656,1603.6538,0.6,0.5
58528,17.0,2012,0,1362.855,1324.213,0.3,0.3
58529,-1.0,2012,0,1403.3882,1497.0925,0.4,0.5
58530,-1.0,2012,0,1579.098,1527.8746,0.7,0.7
58531,-2.0,2012,0,1554.5405,1539.4967,0.5,0.6
58532,-31.0,2012,0,1290.5383,1691.9475,0.0,0.7
58533,12.0,2012,0,1345.8732,1573.8274,0.4,0.8
58534,-14.0,2012,0,1477.9604,1657.7197,0.4,0.7
58535,-8.0,2012,0,1386.7598,1555.0477,0.1,0.5
58536,7.0,2012,0,1478.2504,1584.8389,0.5,0.5
58537,-17.0,2012,0,1289.8562,1661.342,0.3,0.8
58538,-14.0,2012,0,1425.3527,1479.5787,0.4,0.5
58539,-25.0,2012,0,1285.1276,1534.3567,0.0,0.7
58540,-5.0,2012,0,1501.2285,1547.5184,0.6,0.4
58541,3.0,2012,0,1610.5198,1561.9861,0.5,0.5
58542,-14.0,2012,0,1316.0269,1636.6106,0.3,0.9
58543,-15.0,2012,0,1399.2522,1572.616,0.4,0.6
58544,-4.0,2012,0,1565.0488,1561.7148,0.6,0.3
58545,-2.0,2012,0,1444.3997,1486.868,0.6,0.5
58546,-21.0,2012,0,1371.0411,1285.6865,0.4,0.3
58547,-10.0,2012,0,1576.3436,1468.598,0.4,0.3
58548,9.0,2012,0,1466.7649,1568.3638,0.4,0.6
58549,4.0,2012,0,1556.2949,1697.3583,0.7,0.7
58550,-2.0,2012,0,1363.4058,1576.2212,0.4,0.5
58551,-20.0,2012,0,1546.5188,1665.5117,0.6,0.8
58552,6.0,2012,0,1476.556,1494.6781,0.5,0.6
58553,13.0,2012,0,1555.9995,1438.5035,0.5,0.5
58554,6.0,2012,0,1379.8214,1487.7098,0.1,0.4
58555,-18.0,2012,0,1492.7474,1680.7656,0.5,0.8
58556,4.0,2012,0,1613.5017,1544.5488,0.5,0.8
58557,-9.0,2012,0,1274.9354,1582.6869,0.0,0.7
58558,17.0,2012,0,1570.6012,1489.1001,0.3,0.6
58559,-4.0,2012,0,1341.4318,1641.4055,0.4,0.9
58560,-3.0,2012,0,1360.3644,1492.7642,0.3,0.6
58561,-15.0,2012,0,1556.1625,1691.4648,0.5,0.8
58562,26.0,2012,0,1667.0822,1479.7513,0.7,0.4
58563,6.0,2012,0,1690.0498,1410.2533,0.7,0.4
58564,8.0,2012,0,1579.2626,1531.2649,0.6,0.5
58565,-15.0,2012,0,1559.0042,1315.2959,0.4,0.3
